date,meal,food,quant,calories,carbs,fat,protein,sodium,sugar
2024-03-21,dinner,"Quick Add, 1 serving(s)",1,1270.0,90.0,70.0,70.0,0.0,0.0
2024-03-22,breakfast,"oats - copos de avena, 50 g",50,185.0,28.0,4.0,6.0,0.0,0.0
2024-03-22,breakfast,"Biotech Usa - Iso Whey Zero, 25 grammi",25,93.0,1.0,0.0,21.0,0.0,0.0
2024-03-22,breakfast,"226ers - Vegan Recovery Drink Vainilla, 25 gr",25,99.0,11.0,1.0,11.0,300.0,0.0
2024-03-22,lunch,"Ensalada Pollo Ofi, 1 serving",1,759.0,8.0,60.0,46.0,68.0,1.0
2024-03-22,dinner,"Jamon Serrano - Jamon Serrano Bellota, 40 gr",40,97.0,0.0,6.0,11.0,0.0,0.0
2024-03-22,dinner,"Aceite Oliva - Aceite Oliva 7ml, 2 cucharadita de café (7ml)",2,120.0,0.0,14.0,0.0,0.0,0.0
2024-03-22,dinner,"Generic - Chopitos, 75 gr",75,146.0,7.0,7.0,13.0,348.0,1.0
2024-03-22,dinner,"Patatas - Hervidas, 25 gr",25,20.0,4.0,0.0,1.0,0.0,0.0
2024-03-22,dinner,"La Sirena - Almejas a la marinera, 100 gramo",100,103.0,4.0,7.0,7.0,1.0,1.0
2024-03-22,dinner,"Generic - Vino Tinto, 1 Copa 150 Cc., 1 copa 150 gr.",1,107.0,0.0,0.0,0.0,6.0,0.0
2024-03-22,dinner,"Botellin Mahou (20cl) - Cerveza, 40 cl",40,176.0,14.0,0.0,0.0,0.0,0.0
2024-03-22,dinner,"Pan - Pan Blanco ✓, 50 g",50,131.0,25.0,1.0,4.0,300.0,3.0
2024-03-22,dinner,"Tomato, 1.8 medium",1.8,40.0,9.0,0.0,2.0,11.0,6.0
2024-03-22,dinner,"atun ventresca - ventresca atún, 25 gramo",25,21.0,0.0,0.0,5.0,0.0,0.0
2024-03-22,dinner,"Chuletillas De Lechazo - Chuletillas De Lechazo, 0.7 (100gr)",0.7,270.0,0.0,19.0,10.0,0.0,0.0
2024-03-22,dinner,"Casero - Paella De Marisco, 180 gr",180,252.0,47.0,4.0,10.0,0.0,0.0
2024-03-23,breakfast,"creatina - monohidrato de creatina, 4 g",4,0.0,0.0,0.0,4.0,0.0,0.0
2024-03-23,breakfast,"piña - Piña, 178 gram",178,89.0,23.0,0.0,1.0,2.0,18.0
2024-03-23,lunch,"Pan - Pan Blanco ✓, 25 g",25,65.0,13.0,0.0,2.0,150.0,1.0
2024-03-23,lunch,"Chuleton - Chuleton añojo, 75 gramo",75,121.0,0.0,6.0,17.0,42.0,0.0
2024-03-23,lunch,"Arbizu - Chorizo a la sidra, 20 gramo",20,52.0,1.0,4.0,3.0,0.0,0.0
2024-03-23,lunch,"Esparragos Trigueros - Esparragos Trigueros Verdes, 80 g",80,17.0,2.0,0.0,2.0,3.0,1.0
2024-03-23,lunch,"Callos a la madrileña - Callos, 90 gramos",90,159.0,1.0,12.0,12.0,0.0,0.0
2024-03-23,lunch,"Supersol - Tortilla De Patatas, 75 g",75,101.0,11.0,5.0,3.0,0.0,0.0
2024-03-23,lunch,"Mahou - 0,0 Tostada, 330 ml",330,86.0,20.0,0.0,1.0,0.0,11.0
2024-03-23,lunch,"alsur - ensalada de pimientos, 80 grs",80,41.0,8.0,0.0,1.0,0.0,0.0
2024-03-23,dinner,"tomate rallado natural - tomate rallado natural, 2 rebanada",2,38.0,7.0,1.0,0.0,0.0,0.0
2024-03-23,dinner,"Aceite Oliva - Aceite Oliva 7ml, 2 cucharadita de café (7ml)",2,120.0,0.0,14.0,0.0,0.0,0.0
2024-03-23,dinner,"Frinosa atun lata - Atun lata, 16 gramos",16,41.0,0.0,3.0,3.0,30.0,0.0
2024-03-23,dinner,"PRIMO Pastrami - Thinly sliced pastrami, 50 grams",50,47.0,1.0,1.0,9.0,367.0,0.0
2024-03-23,dinner,"Pan - Pan Blanco ✓, 80 g",80,209.0,40.0,1.0,7.0,480.0,4.0
2024-03-23,dinner,"Tomato, 1 medium",1,22.0,5.0,0.0,1.0,6.0,3.0
2024-03-23,dinner,"Gambas - Gamba, 1.5 taza",1.5,53.0,0.0,1.0,11.0,0.0,0.0
2024-03-23,dinner,"Jamon Serrano - Jamon Serrano Bellota, 20 gr",20,48.0,0.0,3.0,6.0,0.0,0.0
2024-03-23,dinner,"Baklava - Baklava, 1 piece",1,334.0,29.0,23.0,5.0,253.0,10.0
2024-03-23,snacks,"oats - copos de avena, 50 g",50,185.0,28.0,4.0,6.0,0.0,0.0
2024-03-23,snacks,"Biotech Usa - Iso Whey Zero, 25 grammi",25,93.0,1.0,0.0,21.0,0.0,0.0
2024-03-23,snacks,"226ers - Vegan Recovery Drink Vainilla, 25 gr",25,99.0,11.0,1.0,11.0,300.0,0.0
2024-03-24,breakfast,"oats - copos de avena, 50 g",50,185.0,28.0,4.0,6.0,0.0,0.0
2024-03-24,breakfast,"226ers - Vegan Recovery Drink Vainilla, 25 gr",25,99.0,11.0,1.0,11.0,300.0,0.0
2024-03-24,lunch,"Mahou - Cerveza Mahou Tostada 0,0, 325 ml",325,34.0,8.0,0.0,0.0,0.0,4.0
2024-03-24,lunch,"eroski - encurtidos , 30 gramo",30,17.0,1.0,2.0,0.0,0.0,0.0
2024-03-24,lunch,"Pan - Pan Blanco ✓, 40 g",40,104.0,20.0,1.0,3.0,240.0,2.0
2024-03-24,lunch,"Morcilla de arroz - Morcilla, 50 gramo",50,142.0,9.0,11.0,3.0,0.0,0.0
2024-03-24,lunch,"Esparragos Trigueros - Esparragos Trigueros Verdes, 80 g",80,17.0,2.0,0.0,2.0,3.0,1.0
2024-03-24,lunch,"Carrefour - Cochinillo asado, 400 gr",400,784.0,2.0,31.0,127.0,0.0,0.0
2024-03-24,dinner,"Casero - Verduras Al Horno, 100 g",100,100.0,11.0,0.0,3.0,350.0,0.0
2024-03-24,dinner,"Pan - Pan Blanco ✓, 25 g",25,65.0,13.0,0.0,2.0,150.0,1.0
2024-03-24,dinner,"Jamon Serrano - Jamon Serrano Bellota, 50 gr",50,121.0,0.0,7.0,14.0,0.0,0.0
2024-03-24,dinner,"Supersol - Tortilla De Patatas, 180 g",180,243.0,27.0,11.0,7.0,0.0,0.0
2024-03-24,dinner,"Omakase - Tartar De atún, 180 gramis",180,241.0,1.0,17.0,22.0,0.0,0.0
2024-03-24,snacks,"226ers - Vegan Recovery Drink Vainilla, 50 gr",50,198.0,21.0,3.0,22.0,600.0,1.0
2024-03-25,breakfast,"oats - copos de avena, 50 g",50,185.0,28.0,4.0,6.0,0.0,0.0
2024-03-25,breakfast,"Biotech Usa - Iso Whey Zero, 50 grammi",50,186.0,3.0,1.0,42.0,0.0,0.0
2024-03-25,lunch,"Ensalada Polllo Ofi Bain, 1 serving",1,556.0,24.0,35.0,38.0,66.0,7.0
2024-03-25,dinner,"Pan - Pan Blanco ✓, 100 g",100,255.0,56.0,1.0,7.0,500.0,5.0
2024-03-25,dinner,"PRIMO Pastrami - Thinly sliced pastrami, 20 grams",20,19.0,0.0,0.0,4.0,147.0,0.0
2024-03-25,dinner,"Supersol - Tortilla De Patatas, 150 g",150,203.0,23.0,9.0,6.0,0.0,0.0
2024-03-25,dinner,"Mostaza Natura - mostaza, 0.5 cuchara de sopa",0.5,6.0,1.0,0.0,0.0,0.0,0.0
2024-03-25,dinner,"Jamon Serrano - Jamon Serrano Bellota, 20 gr",20,48.0,0.0,3.0,6.0,0.0,0.0
2024-03-25,dinner,"tomate rallado natural - tomate rallado natural, 1 rebanada",1,19.0,4.0,1.0,0.0,0.0,0.0
2024-03-25,dinner,"Pepinillos  Miel - Pepinillos, 50 g",50,25.0,4.0,0.0,1.0,0.0,4.0
2024-03-25,dinner,"probiotico - probiotico, 1 capsule1",1,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,breakfast,"oats - copos de avena, 50 g",50,185.0,28.0,4.0,6.0,0.0,0.0
2024-03-26,breakfast,"Biotech Usa - Iso Whey Zero, 25 grammi",25,93.0,1.0,0.0,21.0,0.0,0.0
2024-03-26,breakfast,"226ers - Vegan Recovery Drink Vainilla, 25 gr",25,99.0,11.0,1.0,11.0,300.0,0.0
2024-03-26,lunch,"Ensalada Polllo Ofi Bain, 1.2 serving",1.2,667.0,29.0,42.0,45.0,80.0,8.0
2024-03-26,dinner,"Generic - Vino Tinto, 1 Copa 150 Cc., 1 copa 150 gr.",1,107.0,0.0,0.0,0.0,6.0,0.0
2024-03-26,dinner,"Mahou - Cerveza Mahou Tostada 0,0, 325 ml",325,34.0,8.0,0.0,0.0,0.0,4.0
2024-03-26,dinner,"Homemade - Patatas Fritas, 150 gr",150,390.0,27.0,30.0,4.0,225.0,0.0
2024-03-26,dinner,"Pulpos pequeños - Pulpo, 100 gram",100,47.0,1.0,1.0,10.0,0.0,1.0
2024-03-26,dinner,"Chovi - Alioli, 12 gr",12,90.0,0.0,10.0,0.0,62.0,0.0
2024-03-26,dinner,"Chuleton - Chuleton añojo, 450 gramo",450,725.0,3.0,36.0,99.0,252.0,0.0
2024-03-26,snacks,"carrefour - cereales barre cacahuete, 1 barre",1,93.0,12.0,4.0,2.0,0.0,6.0
2024-03-26,snacks,"creatina - monohidrato de creatina, 4 g",4,0.0,0.0,0.0,4.0,0.0,0.0
2024-03-27,breakfast,"Hacendado - Salvado de Avena, 50 g",50,179.0,22.0,4.0,9.0,0.0,1.0
2024-03-27,breakfast,"Biotech Usa - Iso Whey Zero, 25 grammi",25,93.0,1.0,0.0,21.0,0.0,0.0
2024-03-27,breakfast,"226ers - Vegan Recovery Drink Vainilla, 25 gr",25,99.0,11.0,1.0,11.0,300.0,0.0
2024-03-27,lunch,"Sansala - Poke salmon, 265 gr",265,602.0,81.0,19.0,23.0,0.0,20.0
2024-03-27,dinner,"Homemade - Patatas Fritas, 80 gr",80,208.0,14.0,16.0,2.0,120.0,0.0
2024-03-27,dinner,"Filete empanado - Filete empanado, 200 g",200,264.0,36.0,2.0,25.0,0.0,0.0
2024-03-27,dinner,"Rabo de Toro Hacendado - Rabo de toro, 80 g",80,134.0,0.0,8.0,16.0,0.0,0.0
2024-03-27,dinner,"Pan - Pan Blanco ✓, 40 g",40,102.0,22.0,0.0,3.0,200.0,2.0
2024-03-27,dinner,"Generic - Vino Tinto, 1 Copa 150 Cc., 2 copa 150 gr.",2,214.0,1.0,0.0,1.0,12.0,0.0
2024-03-27,dinner,"Ensaladilla: - Ensaladilla Rusa, 70 gr",70,133.0,6.0,11.0,4.0,84.0,2.0
2024-03-27,snacks,"Generico - Patatas Light, 100 gr",100,473.0,63.0,23.0,4.0,1.0,0.0
2024-03-27,snacks,"pipas grefusa - pipas, 42 gramo",42,105.0,1.0,9.0,5.0,0.0,0.0
2024-03-27,snacks,"Generic - Ginebra, 300 ml",300,660.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,breakfast,"Huevo Frito Mediano (50g) - Huevo Frito, 1 huevo",1,116.0,1.0,10.0,7.0,86.0,0.0
2024-03-28,breakfast,"Pan - Pan Blanco ✓, 60 g",60,153.0,33.0,0.0,4.0,300.0,3.0
2024-03-28,lunch,"Pan - Pan Blanco ✓, 40 g",40,102.0,22.0,0.0,3.0,200.0,2.0
2024-03-28,lunch,"mayonesa - Mayonesa, 1 cucharada",1,90.0,0.0,10.0,0.0,0.0,0.0
2024-03-28,lunch,"Chuleton - Chuleton añojo, 150 gramo",150,242.0,1.0,12.0,33.0,84.0,0.0
2024-03-28,lunch,"Homemade - Patatas Fritas, 50 gr",50,130.0,9.0,10.0,1.0,75.0,0.0
2024-03-28,lunch,"Guisantes - Guisantes, 70 gramos",70,62.0,10.0,0.0,4.0,0.0,4.0
2024-03-28,lunch,"Morcilla de arroz - Morcilla, 40 gramo",40,114.0,7.0,8.0,2.0,0.0,0.0
2024-03-28,lunch,"molleja - molleja, 80 gramo",80,63.0,0.0,1.0,13.0,0.0,0.0
2024-03-28,lunch,"Aceite Oliva - Aceite Oliva 7ml, 0.5 cucharadita de café (7ml)",0.5,30.0,0.0,4.0,0.0,0.0,0.0
2024-03-28,dinner,"Kiwi, 1 fruit",1,44.0,11.0,0.0,1.0,4.0,7.0
2024-03-29,breakfast,"Pan - Pan Blanco ✓, 35 g",35,89.0,19.0,0.0,2.0,175.0,2.0
2024-03-29,breakfast,"Hacendado mercadona - Pollo con tomate , 150 gramo",150,225.0,12.0,12.0,17.0,0.0,3.0
2024-03-29,lunch,"Casero - Bacalao a Bras (P), 386 g",386,706.0,46.0,39.0,42.0,0.0,0.0
2024-03-29,lunch,"Pan - Pan Blanco ✓, 35 g",35,89.0,19.0,0.0,2.0,175.0,2.0
2024-03-29,lunch,"mayonesa - Mayonesa, 1 cucharada",1,90.0,0.0,10.0,0.0,0.0,0.0
2024-03-29,lunch,"Espinaca Salteada Con Ajo, 1.5 taza",1.5,134.0,11.0,8.0,8.0,818.0,1.0
2024-03-29,dinner,"Jamon Serrano - Jamon Serrano Bellota, 20 gr",20,48.0,0.0,3.0,6.0,0.0,0.0
2024-03-29,dinner,"Pan - Pan Blanco ✓, 50 g",50,128.0,28.0,0.0,4.0,250.0,3.0
2024-03-29,dinner,"Chorizo picante - Chorizo picante, 100 gramo",100,392.0,1.0,34.0,21.0,3.0,0.0
2024-03-29,dinner,"Freia - Fresa, 100 gram",100,32.0,8.0,0.0,1.0,1.0,0.0
2024-03-29,dinner,"Gallina Blanca (verificat) - Caldo casero de pollo, 250 ml",250,13.0,1.0,1.0,1.0,1.0,0.0
2024-03-29,snacks,"Carne asada, 50 gram",50,76.0,1.0,4.0,8.0,161.0,0.0
2024-03-29,snacks,"Pan - Pan Blanco ✓, 45 g",45,115.0,25.0,0.0,3.0,225.0,2.0
2024-03-29,snacks,"Nuts - Macadamia, 5 nuts",5,100.0,2.0,11.0,1.0,28.0,1.0
2024-03-29,snacks,"Chuleton - Chuleton añojo, 70 gramo",70,113.0,0.0,6.0,15.0,39.0,0.0
2024-03-30,breakfast,"Casero - Bacalao a Bras (P), 130 g",130,238.0,15.0,13.0,14.0,0.0,0.0
2024-03-30,breakfast,"Huevo Frito Mediano (50g) - Huevo Frito, 1 huevo",1,116.0,1.0,10.0,7.0,86.0,0.0
2024-03-30,breakfast,"Roig - Clara de huevo, 30 gr",30,15.0,0.0,0.0,3.0,0.0,0.0
2024-03-30,lunch,"Knoweats - Tacos de cochinita pibil, 280 g",280,666.0,39.0,43.0,31.0,1960.0,1.0
2024-03-30,lunch,"# - Maiz, Mazorca, 50 gr",50,51.0,9.0,1.0,2.0,152.0,0.0
2024-03-30,lunch,"Jleo's - Totopo & Guacamole, 40 g",40,227.0,28.0,3.0,3.0,3847.0,0.0
2024-03-30,dinner,"Biotech Usa - Iso Whey Zero, 25 grammi",25,93.0,1.0,0.0,21.0,0.0,0.0
2024-03-30,dinner,"226ers - Vegan Recovery Drink Vainilla, 25 gr",25,99.0,11.0,1.0,11.0,300.0,0.0
2024-03-30,dinner,"Jamon Serrano - Jamon Serrano Bellota, 40 gr",40,97.0,0.0,6.0,11.0,0.0,0.0
2024-03-30,dinner,"salchichon turon - salchichon, 40 gramo",40,191.0,2.0,17.0,7.0,0.0,0.0
2024-03-30,dinner,"Picos Integrales - Dia Picos, 15 g. (6 uds)",15,57.0,12.0,0.0,2.0,0.0,0.0
2024-03-30,snacks,"Supersol - Tortilla De Patatas, 120 g",120,162.0,18.0,7.0,5.0,0.0,0.0
2024-03-30,snacks,"Patatas revolconas con torreznos - Patatas revolconas con torreznos, 75 gr",75,170.0,9.0,14.0,2.0,0.0,0.0
2024-03-31,breakfast,"Hacendado - Salvado de Avena, 50 g",50,179.0,22.0,4.0,9.0,0.0,1.0
2024-03-31,breakfast,"Biotech Usa - Iso Whey Zero, 50 grammi",50,186.0,3.0,1.0,42.0,0.0,0.0
2024-03-31,lunch,"Aceitunas - Aceitunas Pack 5, 4 olives",4,20.0,1.0,2.0,0.0,192.0,0.0
2024-03-31,lunch,"Patatas fritas - Patatas fritas, 35 g",35,187.0,20.0,11.0,2.0,0.0,0.0
2024-03-31,lunch,"chipiron - chipirones, 80 g",80,175.0,0.0,10.0,7.0,0.0,14.0
2024-03-31,lunch,"Ensaladilla: - Ensaladilla Rusa, 70 gr",70,133.0,6.0,11.0,4.0,84.0,2.0
2024-03-31,lunch,"Propia - Sopa de Cocido, 250 gramo",250,227.0,17.0,10.0,15.0,116.0,4.0
2024-03-31,lunch,"Homemade - Patatas Fritas, 35 gr",35,91.0,6.0,7.0,1.0,53.0,0.0
2024-03-31,lunch,"entrecote - entrecote, 130 gram",130,215.0,0.0,10.0,30.0,0.0,0.0
2024-03-31,dinner,"Ensalada - Mi Ensalada, 5.5 ración",5.5,385.0,50.0,6.0,6.0,0.0,0.0
2024-03-31,dinner,"Chicken Wrap - Wrap, 1.5 wrap",1.5,375.0,9.0,19.0,28.0,1260.0,7.0
2024-03-31,snacks,"226ers - Vegan Recovery Drink Vainilla, 50 gr",50,198.0,21.0,3.0,22.0,600.0,1.0
2024-04-01,breakfast,"Mixed fruit, 1.8 cup",1.8,70.0,18.0,0.0,1.0,5.0,13.0
2024-04-01,breakfast,"Roig - Clara de huevo, 100 gr",100,50.0,1.0,1.0,10.0,0.0,1.0
2024-04-01,breakfast,"Kalamata - Olives, 15 g (3-5 olives)",15,45.0,2.0,4.0,0.0,230.0,0.0
2024-04-01,breakfast,"Olive oil, 0.7 tablespoon",0.7,84.0,0.0,9.0,0.0,0.0,0.0
2024-04-01,dinner,"Aladdin - Tabbouleh, 6 tablespoon",6,96.0,12.0,5.0,2.0,96.0,1.0
2024-04-01,dinner,"Shrimp, 3 ounce",3,60.0,1.0,1.0,12.0,481.0,0.0
2024-04-01,dinner,"Sauce - Marinara Sauce, 1 cup",1,70.0,10.0,2.0,2.0,0.0,0.0
2024-04-01,dinner,"Bread farmhouse - Bread, 0.5 slice",0.5,60.0,11.0,1.0,2.0,110.0,2.0
2024-04-01,dinner,"Chicken Biryani, 2 cup",2,584.0,62.0,19.0,39.0,838.0,6.0
2024-04-02,breakfast,"Falafel - Falafel, 1 ball",1,57.0,5.0,3.0,2.0,50.0,0.0
2024-04-02,breakfast,"Taste Shikran - Muhammara, 60 gram",60,84.0,3.0,6.0,3.0,1.0,1.0
2024-04-02,breakfast,"Smoked salmon, 60 gram",60,70.0,0.0,3.0,11.0,403.0,0.0
2024-04-02,breakfast,"Omelette - Omelette Nature, 100 g",100,173.0,0.0,13.0,15.0,245.0,0.0
2024-04-02,breakfast,"Huevo: - Huevo Cocido Clara, 60 gr",60,34.0,0.0,0.0,7.0,110.0,0.0
2024-04-02,breakfast,"Kalamata - Olives, 15 g (3-5 olives)",15,45.0,2.0,4.0,0.0,230.0,0.0
2024-04-02,breakfast,"Tea & Oat Milk - Brewed Tea, Oatly Milk, 1 cup",1,22.0,3.0,1.0,1.0,0.0,2.0
2024-04-02,dinner,"Chicken Biryani, 1.4 cup",1.4,409.0,43.0,13.0,28.0,587.0,4.0
